taxa	FHBZEA	FHBDON	FHBDISIND	FHBSPKINC	PTHT	ZDK	BLSSEV	HSATIVLSEV
20SGH002861	0.9	9.4	3	90	110	69	10	0
20SGH002877	NA	NA	1	100	NA	59	2	0
20SGH002893	1.1	11.1	4	100	140	71	10	5
20SGH002903	0.4	9.3	1.75	50	115	53	2	2
20SGH002910	1.3	11.3	2.85	90	120	69	5	20
20SGH002914	0	5	0.642857143	35.71428571	110	71	30	10
20SGH002930	0	2.1	0.45	40	140	69	30	30
20SGH002931	NA	NA	0	0	90	59	0	2
20SGH002941	0	8.2	1.9	65	110	71	30	10
20SGH002954	1	21	2.6	100	130	69	30	20
20SGH002989	2.8	13.2	4	100	110	69	2	5
20SGH002998	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003014	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003018	0	4.6	1.9375	81.25	120	69	30	10
20SGH003027	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003051	0	4.3	1.65	75	110	69	10	10
20SGH003053	0.1	5.9	1.4	65	125	69	5	20
20SGH003054	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003057	0.6	8	1.6	90	125	71	10	2
20SGH003061	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003062	0.2	3.3	2.25	95	140	69	10	5
20SGH003089	0	5.4	3.35	95	135	71	20	2
20SGH003091	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003098	0.5	0.6	1.631578947	89.47368421	120	71	5	10
20SGH003118	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003124	0	0	0.875	25	105	69	5	40
20SGH003157	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003158	0.7	8.4	2.95	100	125	69	5	10
20SGH003159	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003169	0.2	12.1	2.65	100	105	71	5	30
20SGH003178	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003179	0	3.7	2.55	90	120	71	0	10
20SGH003187	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003219	0.1	4.3	0.5	50	85	61	2	60
20SGH003225	NA	NA	3.133333333	100	105	65	5	2
20SGH003231	0	0	1.5	50	100	65	0	5
20SGH003237	0	4.1	1.333333333	66.66666667	80	69	5	5
20SGH003240	1.5	10.9	2.95	100	120	71	40	20
20SGH003247	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003258	NA	NA	NA	NA	NA	NA	NA	NA
