taxa	FHBDON	FHBDISIND	FHBSPKINC	PTHT	ZDK	GLBLSEV	BLSSEV	HSATIVLSEV
20SGH002479	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000866	1.8	1.73684211	94.7368421	112	69	5	5	2
20SGH002731	3.9	1.4	85	130	69	0	20	5
20SGH001121	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002793	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002421	4.6	1	70	116	69	0	5	30
20SGH002136	0.1	2.76470588	94.1176471	120	69	0	5	0
20SGH003845	8.7	1.95	95	96	59	0	10	10
20SGH003417	7.4	2.13333333	100	85	69	0	10	0
20SGH001108	9.8	1.6	85	103	65	0	5	5
20SGH002923	11.6	1.85	85	111	59	0	2	30
20SGH000309	7.6	2	82.3529412	100	59	0	2	5
20SGH002160	2.8	1.68421053	73.6842105	119	59	0	5	30
20SGH000294	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002510	2.3	2.05	95	119	59	0	2	5
20SGH001198	2	1.73333333	86.6666667	111	59	0	10	10
20SGH003822	1.5	2.33333333	94.4444444	101	69	0	10	30
20SGH000112	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000181	1	1.25	75	104	59	0	5	5
20SGH002038	2.3	1.61538462	92.3076923	111	69	0	2	10
20SGH003735	4	2.05	95	108	69	10	20	10
20SGH000226	2.7	1.15	65	104	69	0	10	10
20SGH003871	2.2	0.88888889	66.6666667	118	65	5	40	10
20SGH003684	1.1	1.66666667	86.6666667	100	65	10	20	20
20SGH001183	1.8	1.1	65	114	65	0	10	20
20SGH000262	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002700	6.5	1.8	85	109	69	0	10	20
20SGH001185	26.6	1.1	70	108	59	0	10	10
20SGH003547	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002777	2.1	1.6	80	89	69	0	10	5
20SGH001011	2.3	1.53333333	93.3333333	99	59	0	20	5
20SGH001821	3.1	NA	NA	80	55	0	10	2
20SGH002060	3.3	1.25	70	131	69	0	20	20
20SGH003633	2.2	1.45	90	100	61	0	5	0
20SGH001830	0.8	0.875	56.25	98	65	0	10	0
20SGH002172	7	1.05263158	73.6842105	110	59	0	20	20
20SGH002788	3.7	1.75	80	104	69	0	20	20
