phenotype_year	plant_id	Cycle	Site	Time	serpentine	FHBDON	FHBZEA
2022	20SGH002810	C10	SAL	5	384	0	0
2022	20SGH001268	C10	SAL	5	386	0	0
2022	20SGH002956	C10	SAL	5	387	0	0
2022	19SGH003237	C10	SAL	5	388	0	0
2022	20SGH003578	C10	SAL	5	389	0	0
2022	20SGH003351	C10	SAL	5	390	0	0
2022	20SGH000219	C10	SAL	5	391	0	0
2022	20SGH000654	C10	SAL	5	392	0	0
2022	19SGH000512	C10	SAL	5	394	0	0.1
2022	20SGH000130	C10	SAL	5	396	0	0.1
2022	20SGH002691	C10	SAL	5	397	0	0
2022	20SGH003831	C10	SAL	5	399	0	0
2022	20SGH001667	C10	SAL	5	400	0	0
2022	20SGH001225	C10	SAL	5	402	0	0
2022	20SGH000626	C10	SAL	5	403	2.4	2.7
2022	20SGH003329	C10	SAL	5	405	0.1	0
2022	20SGH002223	C10	SAL	5	407	0	0
2022	20SGH001509	C10	SAL	5	408	0.1	0.1
2022	20SGH002904	C10	SAL	5	409	0	0
2022	20SGH000099	C10	SAL	5	410	0	0
2022	20SGH001725	C10	SAL	5	411	0	0
2022	20SGH003019	C10	SAL	5	412	0	0
2022	20SGH000668	C10	SAL	5	413	0	0
2022	20SGH003386	C10	SAL	5	414	0.1	0
2022	20SGH003389	C10	SAL	5	416	0.2	0.1
2022	20SGH001734	C10	SAL	5	417	0.1	0
2022	20SGH001177	C10	SAL	5	418	0.1	0
2022	20SGH002173	C10	SAL	5	419	0.3	0
2022	20SGH002963	C10	SAL	5	420	0	0
2022	20SGH003409	C10	SAL	5	421	0	0
2022	20SGH001885	C10	SAL	5	422	0.1	0.1
2022	19SGH002633	C10	SAL	5	423	0.6	1.1
2022	20SGH003598	C10	SAL	5	424	0	0
2022	20SGH000429	C10	SAL	5	425	0	0
2022	20SGH003667	C10	SAL	5	426	0	0
2022	20SGH001893	C10	SAL	5	427	0.4	0
2022	19SGH001194	C10	SAL	5	428	0	0
2022	20SGH000150	C10	SAL	5	429	0	0
2022	20SGH001223	C10	SAL	5	431	0.4	1.4
2022	20SGH003794	C10	SAL	5	434	0	0
2022	20SGH000699	C10	OLA	5	1	7.7	0
2022	20SGH001595	C10	OLA	5	3	6.4	0
2022	20SGH002569	C10	OLA	5	5	2.5	0
2022	20SGH001512	C10	OLA	5	7	15	0
2022	NA	C10	OLA	5	8	16.2	1.6
2022	20SGH001980	C10	OLA	5	9	6	0
2022	20SGH002914	C10	OLA	5	12	5	0
2022	20SGH000178	C10	OLA	5	16	0.8	0
2022	20SGH003592	C10	OLA	5	17	3.5	0
2022	20SGH001896	C10	OLA	5	19	5.1	0
2022	20SGH003584	C10	OLA	5	20	6.4	0
2022	20SGH000670	C10	OLA	5	21	2.4	0
2022	20SGH001067	C10	OLA	5	22	0.5	0
2022	20SGH001814	C10	OLA	5	23	7.3	0.1
2022	20SGH001648	C10	OLA	5	24	4	0.9
2022	20SGH003237	C10	OLA	5	25	4.1	0
2022	NA	C10	OLA	5	26	34.5	7.1
2022	20SGH000187	C10	OLA	5	27	8.3	0
2022	20SGH001566	C10	OLA	5	28	1.2	0
2022	NA	C10	OLA	5	29	2.7	0
2022	20SGH001587	C10	OLA	5	30	2.5	0
2022	20SGH003910	C10	OLA	5	31	1.1	0
2022	NA	C10	OLA	5	37	6.7	2.3
2022	20SGH002359	C10	OLA	5	39	3.5	0
2022	20SGH001224	C10	OLA	5	41	0.7	0
2022	20SGH000408	C10	OLA	5	42	3.2	0
2022	20SGH003694	C10	OLA	5	43	1.2	0
2022	NA	C10	OLA	5	49	4.6	0.1
2022	20SGH003179	C10	OLA	5	50	3.7	0
2022	20SGH000631	C10	OLA	5	51	10.2	0
2022	NA	C10	OLA	5	52	0.7	0
2022	20SGH001864	C10	OLA	5	54	1.7	0
2022	20SGH002736	C10	OLA	5	55	0.7	0
2022	NA	C10	OLA	5	56	12.2	0.7
2022	20SGH000718	C10	OLA	5	60	2	0
2022	20SGH003018	C10	OLA	5	61	4.6	0
2022	20SGH001016	C10	OLA	5	65	6.1	0
2022	20SGH003827	C10	OLA	5	66	0.4	0
2022	20SGH001150	C10	OLA	5	70	9	0
2022	20SGH003370	C10	OLA	5	71	6.8	0.3
2022	20SGH001135	C10	OLA	5	73	7.8	0
2022	20SGH001239	C10	OLA	5	75	15.1	0.6
2022	20SGH000911	C10	OLA	5	76	6.3	0
2022	20SGH002622	C10	OLA	5	77	1.9	0
2022	20SGH003339	C10	OLA	5	78	4.5	0.2
2022	20SGH003057	C10	OLA	5	79	8	0.6
2022	20SGH000551	C10	OLA	5	80	1.4	0
2022	19SGH001222	C10	OLA	5	81	0.7	0
2022	20SGH003089	C10	OLA	5	82	5.4	0
2022	20SGH003623	C10	OLA	5	83	3.4	0.5
2022	20SGH002372	C10	OLA	5	84	8.7	0.3
2022	20SGH000621	C10	OLA	5	85	8.9	0
2022	20SGH002689	C10	OLA	5	86	7.4	0
2022	20SGH002672	C10	OLA	5	87	14.8	0.4
2022	20SGH003897	C10	OLA	5	88	3	0
2022	20SGH002546	C10	OLA	5	89	11.1	0.2
