"","EntityID","CPGID","PlantID","source_id","germplasm_id","experiment_id","PlotID","Selection","Entry","planting_date","StartingCorner","Row","Range","easting","northing","altitude","rep","block","notes","DON","ZEA"
"95","20FHB000095",2095,"1310","20SGH001310","C10_001310","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_95_CPG2095_1310","experimental","C10","2020-10-16","SW",4,30,0,0,0,0,0,NA,0.2,0
"96","20FHB000096",2096,"C9-932","19SGH000932","C9_000932","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_96_CPG2096_C9-932","top 1 Inc3 R","C9 replicate","2020-10-16","SW",4,29,0,0,0,0,0,"C9 replicate",0,0
"97","20FHB000097",2097,"3000","20SGH003000","C10_003000","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_97_CPG2097_3000","experimental","C10","2020-10-16","SW",4,28,0,0,0,0,0,NA,NA,NA
"98","20FHB000098",2098,"1511","20SGH001511","C10_001511","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_98_CPG2098_1511","experimental","C10","2020-10-16","SW",4,27,0,0,0,0,0,NA,0,0
"99","20FHB000099",2099,"1857","20SGH001857","C10_001857","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_99_CPG2099_1857","experimental","C10","2020-10-16","SW",4,26,0,0,0,0,0,NA,0,0.1
"100","20FHB000100",2100,"1822","20SGH001822","C10_001822","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_100_CPG2100_1822","experimental","C10","2020-10-16","SW",4,25,0,0,0,0,0,NA,0,0
"101","20FHB000101",2101,"3145","20SGH003145","C10_003145","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_101_CPG2101_3145","experimental","C10","2020-10-16","SW",4,24,0,0,0,0,0,NA,0,0
"102","20FHB000102",2102,"1781","20SGH001781","C10_001781","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_102_CPG2102_1781","experimental","C10","2020-10-16","SW",4,23,0,0,0,0,0,NA,0,0
"103","20FHB000103",2103,"1311","20SGH001311","C10_001311","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_103_CPG2103_1311","experimental","C10","2020-10-16","SW",4,22,0,0,0,0,0,NA,0,0
"104","20FHB000104",2104,"3184","20SGH003184","C10_003184","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_104_CPG2104_3184","experimental","C10","2020-10-16","SW",4,21,0,0,0,0,0,NA,0,0
"105","20FHB000105",2105,"3413","20SGH003413","C10_003413","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_105_CPG2105_3413","experimental","C10","2020-10-16","SW",4,20,0,0,0,0,0,NA,0,0
"106","20FHB000106",2106,"786","20SGH000786","C10_000786","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_106_CPG2106_786","experimental","C10","2020-10-16","SW",4,19,0,0,0,0,0,NA,0,0
"107","20FHB000107",2107,"Bacup",NA,"Bacup","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_107_CPG2107_Bacup","resistant check","spring wheat","2020-10-16","SW",4,18,0,0,0,0,0,"sw_check",NA,NA
"108","20FHB000108",2108,"1304","20SGH001304","C10_001304","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_108_CPG2108_1304","experimental","C10","2020-10-16","SW",4,17,0,0,0,0,0,NA,0,0
"109","20FHB000109",2109,"2576","20SGH002576","C10_002576","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_109_CPG2109_2576","experimental","C10","2020-10-16","SW",4,16,0,0,0,0,0,NA,0.2,0.1
"110","20FHB000110",2110,"502","20SGH000502","C10_000502","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_110_CPG2110_502","experimental","C10","2020-10-16","SW",4,15,0,0,0,0,0,NA,0,0
"111","20FHB000111",2111,"3225","20SGH003225","C10_003225","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_111_CPG2111_3225","experimental","C10","2020-10-16","SW",4,14,0,0,0,0,0,NA,0.2,0.1
"112","20FHB000112",2112,"3893","20SGH003893","C10_003893","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_112_CPG2112_3893","experimental","C10","2020-10-16","SW",4,13,0,0,0,0,0,NA,0,0
"113","20FHB000113",2113,"1013","20SGH001013","C10_001013","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_113_CPG2113_1013","experimental","C10","2020-10-16","SW",4,12,0,0,0,0,0,NA,0,0
"114","20FHB000114",2114,"C9-4077","19SGH004077","C9_004077","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_114_CPG2114_C9-4077","top33 S FHB","C9 replicate","2020-10-16","SW",4,11,0,0,0,0,0,"C9 replicate",0,0
"115","20FHB000115",2115,"1859","20SGH001859","C10_001859","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_115_CPG2115_1859","experimental","C10","2020-10-16","SW",4,10,0,0,0,0,0,NA,0,0
"116","20FHB000116",2116,"1933","20SGH001933","C10_001933","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_116_CPG2116_1933","experimental","C10","2020-10-16","SW",4,9,0,0,0,0,0,NA,0.1,0
